name lifespan
Horned Frog,6.5
Horse,27.5
Horseshoe Crab,20
Howler Monkey,17.5
Human,70.0
Humboldt Penguin,15
Hummingbird,3
Humpback Whale,55.0
Hyena,22.5
Ibis,8
Ibizan Hound,14
Iguana,17.5
Impala,13.5
Indian Elephant,55
Indian Palm Squirrel,3.0
Indian Rhinoceros,47.5
Indian Star Tortoise,30
Indochinese Tiger,18
Indri,15
Insect,2
Irish Setter,16
Irish WolfHound,9
Jack Russel,16
Jackal,11.5
Jaguar,12
Japanese Chin,14
Japanese Macaque,25
Javan Rhinoceros,37.5
Javanese,14
Jellyfish,3.0
Kakapo,57.5
Kangaroo,7.0
Keel Billed Toucan,15
Killer Whale,55.0
King Crab,22.5
King Penguin,15
Kingfisher,6
Kiwi,8
Koala,15
Komodo Dragon,25
Kudu,11.0
Labradoodle,12
Labrador Retriever,15
Ladybird,2
Leaf-Tailed Gecko,2
Lemming,2.0
Lemur,12.0
Leopard,10
Leopard Cat,10
Leopard Seal,22.0
Leopard Tortoise,50
Liger,18
Lion,8
Lionfish,10
Little Penguin,10
Lizard,15.5
Llama,17.5
Lobster,50.0
Long-Eared Owl,40
Lynx,16.0
Macaroni Penguin,17.5
Macaw,50
Magellanic Penguin,15
Magpie,8
Maine Coon,12
Malayan Civet,15
Malayan Tiger,18
Maltese,17
Manatee,60.0
Mandrill,24.0
Manta Ray,15
Marine Toad,10
Markhor,10
Marsh Frog,5
Masked Palm Civet,15
Mastiff,12
Mayfly,1.5
Meerkat,10
Millipede,7
Minke Whale,40.0
Mole,4.5
Molly,3
Mongoose,12.5
Monitor Lizard,19.0
Monkey,20.0
Monte Iberia Eleuth,1
Moorhen,1
Moose,13.0
Moray Eel,20.0
Moth,40
Mountain Gorilla,42.5
Mountain Lion,15.0
Mouse,3.5
Mule,17.5
Neanderthal,42.5
Neapolitan Mastiff,10
Newfoundland,10
Newt,8.5
Nightingale,1
Norfolk Terrier,15
Norwegian Forest,15
Numbat,6.0
Nurse Shark,22.5
Ocelot,8
Octopus,8.5
Okapi,20
Old English Sheepdog,12
Olm,10
Opossum,4.5
Orang-utan,30
Ostrich,50
Otter,20.0
Oyster,1
Pademelon,6.0
Panther,12
Parrot,40
Patas Monkey,12
Peacock,12
Pekingese,13
Pelican,16
Penguin,20
Persian,19
Pheasant,7
Pied Tamarin,8
Pig,11.5
Pika,4.5
Pike,12
Pink Fairy Armadillo,5
Piranha,20
Platypus,9
Pointer,13
Poison Dart Frog,3.0
Polar Bear,20
Pond Skater,1
Poodle,16
Pool Frog,1
Porcupine,10.0
Possum,6.5
Prawn,2
Proboscis Monkey,15
Puffer Fish,4
Puffin,15
Pug,14
Puma,10
Purple Emperor,1
Puss Moth,3
Pygmy Hippopotamus,30
Pygmy Marmoset,10.0
Quail,3
Quetzal,20
Quokka,5
Quoll,4.5
Rabbit,6.0
Raccoon,14.0
Raccoon Dog,3
Radiated Tortoise,30
Ragdoll,14
Rat,3.5
Red Knee Tarantula,25.0
Red Panda,8
Red Wolf,10
Reindeer,13.5
Rhinoceros,37.5
River Dolphin,15.0
River Turtle,20.0
Robin,1
Rock Hyrax,5
Rockhopper Penguin,15
Roseate Spoonbill,10
Rottweiler,9
Royal Penguin,15
Russian Blue,14
Sabre-Toothed Tiger,20
Saint Bernard,10
Salamander,12.5
Sand Lizard,5
Saola,8
Scorpion,14.5
Scorpion Fish,10
Sea Dragon,2
Sea Lion,18.5
Sea Otter,13.5
Sea Slug,2.5
Sea Squirt,18.5
Sea Turtle,70.0
Sea Urchin,107.5
Seahorse,2
Seal,20.0
Serval,10
Sheep,7.5
Shih Tzu,15
Shrimp,1.5
Siamese,12
Siamese Fighting Fish,1
Siberian,15
Siberian Husky,14
Siberian Tiger,18
Silver Dollar,2
Skunk,6.5
Sloth,32.5
Slow Worm,10
Snail,1
Snake,30
Snapping Turtle,26.0
Snowshoe,14
Snowy Owl,10
Somali,19
South China Tiger,18
Spadefoot Toad,6.0
Sparrow,4
Spectacled Bear,20
Sperm Whale,50
Spider Monkey,21.0
Spiny Dogfish,52.5
Sponge,22.5
Squid,17.5
Squirrel,5.0
Squirrel Monkey,15
Sri Lankan Elephant,55
Staffordshire Bull Terrier,14
Stag Beetle,3
Starfish,15.0
Stellers Sea Cow,50
Stick Insect,1.5
Stingray,15
Stoat,5.0
Striped Rocket Frog,10
Sumatran Elephant,55
Sumatran Orang-utan,30
Sumatran Rhinoceros,37.5
Sumatran Tiger,18
Sun Bear,15
Swan,8
Tang,8
Tapanuli Orang-utan,30
Tapir,22.5
Tarsier,12
Tasmanian Devil,6.5
Tawny Owl,4
Termite,2
Tetra,3.5
Thorny Devil,16.0
Tibetan Mastiff,15
Tiffany,15
Tiger,21.5
Tiger Salamander,12.5
Tiger Shark,35.0
Tortoise,90.0
Toucan,12
Tree Frog,3.0
Tropicbird,10
Tuatara,75.0
Turkey,5.5
Turkish Angora,14
Uakari,16
Uguisu,2
Umbrellabird,12
